Participant,Left,Right,Difference,Class
CMT_101_DG1,190.0392157,306.0235294,-115.9843137,Right
,,,,
CMT_101_DG2,232.6156863,236.2745098,-3.658823529,Right
,,,,
CMT_102_DG1,284.6196078,141.227451,143.3921569,Left
,,,,
CMT_102_DG2,350.5764706,153.6352941,196.9411765,Left
,,,,
CMT_103_DG1,227.6196078,213.1960784,14.42352941,Left
,,,,
CMT_103_DG2,198.0392157,252.9607843,-54.92156863,Right
,,,,
CMT_104_DG1,315.5529412,215.5647059,99.98823529,Left
,,,,
CMT_104_DG2,301.027451,281.5803922,19.44705882,Left
,,,,
CMT_105_DG1,305.745098,152.7254902,153.0196078,Left
,,,,
CMT_105_DG2,292.1960784,173.6235294,118.572549,Left
,,,,
CMT_106_DG1,222.9607843,250.3019608,-27.34117647,Right
,,,,
CMT_106_DG2,155.0980392,409.6901961,-254.5921569,Right
,,,,
CMT_107_DG1,207.7058824,141.2862745,66.41960784,Left
,,,,
CMT_107_DG2,222.0745098,187.027451,35.04705882,Left
,,,,
CMT_108_DG1,176.8078431,157,19.80784314,Left
,,,,
CMT_108_DG2,167.9882353,132.2117647,35.77647059,Left
,,,,
CMT_109_DG1,257.345098,210.3294118,47.01568627,Left
,,,,
CMT_109_DG2,199.6705882,214.4431373,-14.77254902,Right
,,,,
CMT_110_DG1,246.4745098,139.427451,107.0470588,Left
,,,,
CMT_110_DG2,253.6235294,108.9254902,144.6980392,Left
,,,,
CMT_111_DG1,283.3529412,185.4117647,97.94117647,Left
,,,,
CMT_111_DG2,296.2196078,154.9019608,141.3176471,Left
,,,,
CMT_112_DG1,220.3568627,141.3019608,79.05490196,Left
,,,,
CMT_112_DG2,199.6313725,155.5921569,44.03921569,Left
,,,,
CMT_113_DG1,69.25882353,345.4392157,-276.1803922,Right
,,,,
CMT_114_DG1,120.6941176,329.3411765,-208.6470588,Right
,,,,
CMT_115_DG2,213.7882353,390.9254902,-177.1372549,Right
,,,,
CMT_116_DG1,234.6980392,255.7137255,-21.01568627,Right
,,,,
CMT_116_DG2,236.0784314,238.5882353,-2.509803922,Right
,,,,
CMT_117_DG1,310.2039216,347.9215686,-37.71764706,Right
,,,,
CMT_117_DG2,241.3294118,439.0705882,-197.7411765,Right
,,,,
CMT_118_DG1,342.5215686,207.6745098,134.8470588,Left
,,,,
CMT_118_DG2,301.8509804,300.7568627,1.094117647,Left
,,,,
CMT_119_DG1,242.7333333,298.4392157,-55.70588235,Right
,,,,
CMT_119_DG2,262.3843137,307.827451,-45.44313725,Right
,,,,
CMT_120_DG1,228.2313725,298.2509804,-70.01960784,Right
,,,,
CMT_120_DG2,240.0666667,369.8039216,-129.7372549,Right
,,,,
CMT_121_DG1,272.7215686,183.8352941,88.88627451,Left
,,,,
CMT_121_DG2,259.9411765,199.4784314,60.4627451,Left
,,,,
CMT_123_DG1,217.4392157,242.7686275,-25.32941176,Right
,,,,
CMT_123_DG2,204.9764706,254.3294118,-49.35294118,Right
,,,,
CMT_124_DG1,280.6980392,238.0431373,42.65490196,Left
,,,,
CMT_124_DG2,214.1803922,252.2117647,-38.03137255,Right
,,,,
CMT_125_DG1,242.7882353,158.8352941,83.95294118,Left
,,,,
CMT_125_DG2,173.2509804,281.5882353,-108.3372549,Right
,,,,
CMT_126_DG1,177.9215686,233.1647059,-55.24313725,Right
,,,,
CMT_126_DG2,218.4,194.372549,24.02745098,Left
,,,,
CMT_127_DG1,294.5490196,197.1411765,97.40784314,Left
,,,,
CMT_127_DG2,252.2784314,208.8078431,43.47058824,Left
,,,,
CMT_128_DG1,130.4392157,215.2509804,-84.81176471,Right
,,,,
CMT_128_DG2,122.9372549,348.5647059,-225.627451,Right
,,,,
CMT_129_DG1,265.3019608,171.4745098,93.82745098,Left
,,,,
CMT_129_DG2,278.7215686,189.9607843,88.76078431,Left
,,,,
CMT_130_DG1,192.627451,229.1490196,-36.52156863,Right
,,,,
CMT_130_DG2,168.0313725,254.6666667,-86.63529412,Right
,,,,
CMT_131_DG1,223.3098039,299.6705882,-76.36078431,Right
,,,,
CMT_131_DG2,252.6039216,226.4980392,26.10588235,Left
,,,,
CMT_133_DG1,296.9843137,45.29411765,251.6901961,Left
,,,,
CMT_133_DG2,295.4352941,108.8509804,186.5843137,Left
,,,,
CMT_134_DG1,176.5137255,237.7215686,-61.20784314,Right
,,,,
CMT_134_DG2,204.4392157,202.5176471,1.921568627,Left
,,,,
CMT_135_DG1,177.4627451,275.7137255,-98.25098039,Right
,,,,
CMT_135_DG2,271.3607843,226.1529412,45.20784314,Left
,,,,
CMT_136_DG1,172.4313725,259.4,-86.96862745,Right
,,,,
CMT_136_DG2,164.6705882,356.9686275,-192.2980392,Right
,,,,
CMT_137_DG1,138.3254902,284.8039216,-146.4784314,Right
,,,,
CMT_137_DG2,165.9803922,263.9294118,-97.94901961,Right
,,,,
CMT_138_DG1,292.7568627,208.3607843,84.39607843,Left
,,,,
CMT_138_DG2,308.6588235,170.8431373,137.8156863,Left
,,,,
CMT_139_DG2,235.7058824,180.0588235,55.64705882,Left
,,,,
CMT_140_DG1,221.2,131.3686275,89.83137255,Left
,,,,
CMT_140_DG2,254.8941176,77.89019608,177.0039216,Left
